Kiosque Info;1997;2011;;France;Services;Satellite;Oui;Chaîne de service présentant les programmes Kiosque;;
Kitchen Mania;2011;2015;;France;Art de vivre;AB Groupe;Câble,Satellite;Non;;
Kombat Sport;2007;;;France;Sport;Kombat Sport;Câble,Satellite,IPTV;Non;;
KTO;13/12/1999;;;France;Religieuse;KTO;Câble,Satellite,IPTV,TNT;Oui;;
KTO Radio Vision;;;;France;Religion;Satellite;Oui;Déclinaison télévisuelle spécifique diffusée sur CanalSat.;Wiki CSAT;
La Chaîne Histoire;13/01/1997;30/09/2006;;France;Documentaire;AB Groupe;Câble,Satellite;Non;;
La Chaîne Info (LCI Radio Vision);24/06/1994;23/06/1994;;France;Information;Groupe TF1;Satellite;Non;Première dénomination utilisée avant LCI;
La Chaîne Météo;1995;;;France;Information;La Chaîne Météo;Câble,Satellite,IPTV;Oui;;
La Cinq;20/02/1986;12/04/1992;;France;Généraliste;Fininvest (1986-1990), Hachette (1990-1992);Hertzien,Câble,Satellite,IPTV;Oui;;
La Cinquième;13/12/1994;06/01/2002;;France;Culture;France Télévisions;Hertzien,Câble,Satellite,TNT,IPTV;Oui;;
La Deux;26/03/1977;06/09/2020;;Belgique;Généraliste;RTBF;Hertzien,Câble,Satellite,IPTV;Oui;Devient Tipik;
La Sept;23/05/1986;29/05/1992;;France;Culture;La Sept;Hertzien,Satellite,Câble;Oui;;
La Trois;30/11/2007;08/01/2020;;Belgique;Culture;RTBF;Hertzien,Câble,Satellite,IPTV;Oui;;
La Télé;01/09/2009;;;Suisse;Régionale;La Télé;TNT,Câble,IPTV;Oui;À supprimer en v1.0 (chaîne régionale);
La Une;1953;29/09/2016;;Belgique;Généraliste;RTBF;Hertzien,Câble,Satellite,IPTV;Oui;Devient La Une (nouvelle identité graphique) puis Tipik ? À vérifier;
LCI;24/06/1994;;;France;Information;Groupe TF1;Câble,Satellite,TNT,IPTV;Oui;Payante jusqu'en 2016;
LCP-Assemblée nationale;20/03/2000;;;France;Parlementaire;Assemblée nationale;TNT,Câble,Satellite,IPTV;Oui;Partage le canal avec Public Sénat;
Liberty TV;1995;2012;;France;Téléachat;Liberty TV;Satellite,Câble;Oui;;
Liberty TV.com;1999;2007;;France;Voyages;Satellite,Câble;Oui;Source : KingOfSat, Planète CSAT;;
Love Nature;2015;;Canada;Nature;;Câble,Satellite,IPTV;Non;Version française;;
Lucky Jack.tv;22/06/2015;;;France;Jeux;Mediawan Thematics;Câble,Satellite,IPTV;Non;;
Luxe.TV;23/06/2006;;;Luxembourg;Art de vivre;Luxe.TV;Satellite,Câble,IPTV;Non;;
Léman Bleu;1996;;;Suisse;Locale;Léman Bleu;Câble,IPTV;Oui;À supprimer en v1.0 (chaîne locale);
M6;01/03/1987;;TV6;France;Généraliste;Groupe M6;Hertzien,TNT,Câble,Satellite,IPTV;Oui;;
M6 Boutique & Co;2009;;;France;Téléachat;Groupe M6;Câble,Satellite,IPTV;Oui;;
M6 Boutique la Chaîne;1998;2009;;France;Téléachat;Groupe M6;Câble,Satellite;Oui;Devient M6 Boutique & Co;
M6 Music;05/03/1998;;;France;Musique;Groupe M6;Câble,Satellite,IPTV;Non;;
M6 Music Black;10/01/2007;03/01/2012;;France;Musique;Groupe M6;Câble,Satellite,IPTV;Non;;
M6 Music Club;04/01/2012;;;France;Musique;Groupe M6;Câble,Satellite,IPTV;Non;Succède à M6 Music Black;
M6 Music Hits;23/01/2005;;;France;Musique;Groupe M6;Câble,Satellite,IPTV;Non;;
Ma Chaîne Sport;13/10/1998;31/01/2017;;France;Sport;Groupe MCS;Câble,Satellite,IPTV;Non;;
Ma Chaîne Sport Bien-être;20/12/2006;31/12/2010;;France;Sport;Câble,Satellite,IPTV;Non;Source : KingOfSat;;
Ma Chaîne Étudiante;2009;2015;;France;Éducation;MCE;Câble,Satellite,IPTV;Oui;;
Ma Planète;2003;;;France;Jeunesse;Câble,Satellite;Non;Chaîne jeunesse documentaire.;Wiki CSAT;
Maison & Travaux TV;2017;;France;Art de vivre;Maison;IPTV;Non;;;
Maison Côté Sud TV;;;;France;Art de vivre;Satellite;Non;;Wiki CSAT;
Maison TV;08/09/2001;02/11/2011;;France;Art de vivre;MultiThématiques;Câble,Satellite,IPTV;Non;Devient Maison+;
Maison+;26/06/2001;;France;Art de vivre;Maison;Câble,Satellite,IPTV;Non;;;
Mangas;23/02/1996;;;France;Jeunesse;AB Groupe (1996-2017), Mediawan Thematics (2017-);Câble,Satellite,IPTV;Non;;
Match TV;17/12/2002;31/12/2005;;France;Divertissement;Câble,Satellite,IPTV;Non;;;
MCE TV;2018;;;France;Divertissement;MCE;IPTV;Oui;;
MCM;01/07/1989;;;France;Musique;Groupe MCM, Lagardère, Groupe M6;Câble,Satellite,IPTV;Non;;
MCM Belgique;2001;2015;;Belgique;Musique;Lagardère Active;Câble,Satellite;Oui;Version belge francophone;
MCM Pop;03/07/2012;;;France;Musique;Groupe M6;Câble,Satellite,IPTV;Non;;
MCM Top;19/12/2003;;;France;Musique;Groupe M6;Câble,Satellite,IPTV;Non;;
MCS Bien-être;2009;2016;;France;Sport;Groupe MCS;Câble,Satellite,IPTV;Non;;
MCS Extrême;09/10/2007;;France;Sport;Sports extrêmes;Câble,Satellite,IPTV;Non;;;
MCS Tennis;20/01/2007;31/01/2017;;France;Sport;ADSL,Câble,Satellite;Non;Source : KingOfSat;;
Medi 1 Sat;18/12/2006;31/12/2015;;Maroc;Information;Medi1;Satellite;Oui;Distribuée en France;
Melody;21/10/2001;;;France;Musique;Groupe Melody;Câble,Satellite,IPTV;Non;;
Melody d'Afrique;2013;2018;;France;Musique;ADSL,IPTV;Non;Version africaine francophone. Source : KingOfSat;;
Men's Up TV;01/11/2014;;;France;Art de vivre;ADSL,Câble,Satellite,IPTV;Oui;Chaîne consacrée à l'univers masculin. Source : KingOfSat, Univers Freebox;;
Mezzo;24/03/1998;;;France;Musique;Les Échos / Canal+;Câble,Satellite,IPTV;Non;;
Mezzo Live HD;01/10/2010;;;France;Musique;Mezzo;Satellite,IPTV;Non;;
MGM Channel;2001;2014;;France;Cinéma;Metro-Goldwyn-Mayer;Câble,Satellite,IPTV;Non;;
Monaco Info;01/07/1995;;;Monaco;Information;Gouvernement Princier;TNT,Câble,IPTV;Oui;;
Monte-Carlo TMC;18/11/1954;31/08/1988;;Monaco;Généraliste;Télé Monte-Carlo;Hertzien;Oui;Nom historique à confirmer;
Motors TV;18/09/2000;28/02/2017;;France;Sport;Motors TV;Câble,Satellite,IPTV;Non;Devient Motorsport.tv;
Motorsport.tv;01/03/2017;;Motors TV;France;Sport;Motorsport Network;IPTV,Streaming;Non;;
MSNBC Europe;1996;2005;;Royaume-Uni;Information;NBCUniversal;Satellite,Câble;Non;;
MTV Base;01/03/2008;09/10/2020;;France;Musique;Paramount;Câble,Satellite,IPTV;Non;;
MTV Dance;2001;2015;;France;Musique;MTV Networks;Câble,Satellite,IPTV;Non;;
MTV France;20/06/2000;;;France;Musique;Paramount;Câble,Satellite,IPTV;Non;;
MTV Hits;01/05/2001;;;France;Musique;Paramount;Câble,Satellite,IPTV;Non;;
MTV Idol;17/11/2005;09/10/2020;;France;Musique;Paramount;Câble,Satellite,IPTV;Non;;
MTV Live HD;2008;;;Royaume-Uni;Musique;MTV Networks;Satellite,Câble,IPTV;Non;À supprimer en v1.0 (déclinaison HD);
MTV Music 24;2007;;;Royaume-Uni;Musique;MTV Networks;Satellite,Câble,IPTV;Non;Version européenne;
MTV Pulse;17/11/2005;09/10/2020;;France;Musique;Paramount;Câble,Satellite,IPTV;Non;;
MTV Rocks;2001;2015;;France;Musique;MTV Networks;Câble,Satellite,IPTV;Non;;
Multivision;16/12/1996;31/12/2008;;France;Cinéma;TPS;Satellite;Non;;
Multivision Foot;27/08/1999;18/08/2002;;France;Sport;Groupe Canal+;Satellite;Non;Devient Foot+;
Museum;12/04/2007;;;France;Culture;SECOM, Mediawan Thematics (2022-);Câble,Satellite,IPTV;Non;;
Museum TV;2017;;;France;Culture;Secom;Câble,Satellite,IPTV;Non;;
Muzzik;1998;2010;;France;Culture;AB Sat / TPS;Câble,Satellite;Non;Devient Mezzo Live (à vérifier);
My Cuisine;2010;2021;;France;Art de vivre;Altice Media;Câble,Satellite,IPTV;Non;;
myCuisine;16/05/2011;;;France;Art de vivre;ADSL,Câble,Satellite,IPTV;Non;Source : KingOfSat;;
MyZen Nature;2022;;France;Nature;Bien-être;IPTV;Non;;;
MyZen TV;01/02/2008;;;France;Art de vivre;Secom;Câble,Satellite,IPTV;Non;;
Mécanic TV;2011;2014;;France;Documentaire;Mécanic TV;IPTV;Non;;
Météo 24;1998;2006;;France;Services;Satellite;Oui;Chaîne de service météo;;
Météo Express;1996;2008;;France;Information;TPS;Satellite;Oui;;
NASN;;;;Royaume-Uni;Sport;Satellite;Non;Chaîne sportive distribuée en France.;Wiki CSAT;
Nat Geo Music;2007;2009;;France;Musique;National Geographic Partners;Satellite;Non;;
Nat Geo People;2011;2017;Adventure One;France;Documentaire;National Geographic Partners;Câble,Satellite,IPTV;Non;;
Nat Geo Wild;09/02/2009;;France;Nature;Animalier;Câble,Satellite,IPTV;Non;;;
National Geographic Channel;01/09/2001;;France;Documentaire;Sciences;Câble,Satellite,IPTV;Non;;;
Nature TV;2005;2012;;France;Documentaire;Nature TV;Câble,Satellite;Non;;
Nautic Channel;2007;2012;;France;Sport;Nautic Channel;Satellite,Câble;Non;;
Nautical Channel;2009;;;Italie;Sport;Nautical Channel;Satellite,Câble,IPTV;Non;Version française;
Neuf TV;;;;;;;;;;
Nick Jr.;20/09/2023;;Nickelodeon Junior;France;Jeunesse;Paramount;Câble,Satellite,IPTV;Non;;
Nick Music;2016;;;France;Musique;Paramount;Câble,Satellite,IPTV;Non;;
Nickelodeon;16/11/2005;;;France;Jeunesse;Paramount;Câble,Satellite,IPTV;Non;;
Nickelodeon Junior;26/01/2010;19/09/2023;;France;Jeunesse;Paramount;Câble,Satellite,IPTV;Non;Devient Nick Jr.;
Nicktoons;22/09/2013;;;France;Jeunesse;Paramount;Câble,Satellite,IPTV;Non;;
Nolife;01/06/2007;08/04/2018;;France;Jeunesse;Nolife;ADSL,Câble,IPTV;Non;;
Nollywood TV;05/10/2012;;;France;Cinéma;Câble,Satellite,IPTV;Non;Chaîne consacrée au cinéma nigérian doublé en français. Source : KingOfSat, THEMA;;
Noos Numéricable;;;;;;;;;;
Nostalgie la Télé;15/12/2008;30/06/2009;;France;Musique;ADSL,Câble,Satellite;Oui;Source : KingOfSat, TéléSatellite;;
Novelas TV;26/09/2012;;;France;Séries;Câble,Satellite,IPTV;Non;Chaîne de telenovelas en français. Source : KingOfSat, THEMA;;
NRJ Hits;01/09/2007;;;France;Musique;Groupe NRJ;TNT,Satellite,Câble,IPTV;Oui;;
OCS;09/04/2024;;;France;Cinéma;Groupe Canal+;ADSL,Fibre,Câble,Satellite,IPTV;Non;Nouvelle marque unique;
OCS Choc;12/07/2012;08/04/2024;Orange Ciné Choc;France;Cinéma;OCS;ADSL,Fibre,Câble,Satellite,IPTV;Non;;
OCS City;12/07/2012;08/04/2024;;France;Séries;OCS;ADSL,Fibre,Câble,Satellite,IPTV;Non;;
OCS Go;03/07/2012;31/12/2023;;France;Services;ADSL,Câble,Satellite,IPTV;Oui;Chaîne de service présentant les programmes OCS. Source : OCS;;
OCS Géants;12/07/2012;08/04/2024;Orange Ciné Géants;France;Cinéma;OCS;ADSL,Fibre,Câble,Satellite,IPTV;Non;;
OCS Happy;12/07/2012;08/04/2024;Orange Ciné Happy;France;Cinéma;OCS;ADSL,Fibre,Câble,Satellite,IPTV;Non;;
OCS Max;12/07/2012;08/04/2024;Orange Ciné Max;France;Cinéma;OCS;ADSL,Fibre,Câble,Satellite,IPTV;Non;;
OCS Novo;12/07/2012;08/04/2024;Orange Ciné Novo;France;Cinéma;OCS;ADSL,Fibre,Câble,Satellite,IPTV;Non;;
Odyssée;13/09/1998;26/09/2010;;France;Documentaire;Groupe TF1;Câble,Satellite,IPTV;Non;Devient Stylia;
OL TV;27/07/2005;29/06/2025;;France;Sport;Olympique Lyonnais;Satellite,Câble,IPTV;Non;;
OM TV;16/01/1999;31/08/2018;;France;Sport;Olympique de Marseille;Câble,Satellite,IPTV;Non;;
Onzéo;;;;France;Sport;Satellite,Câble;Non;Chaîne consacrée aux clubs RC Lens et AS Saint-Étienne.;Wiki CSAT;
Orange Ciné Choc;13/11/2008;11/07/2012;;France;Cinéma;Orange;ADSL,Fibre,Satellite;Non;Devient OCS Choc;
Orange Ciné Géants;13/11/2008;11/07/2012;;France;Cinéma;Orange;ADSL,Fibre,Satellite;Non;Devient OCS Géants;
Orange Ciné Happy;13/11/2008;11/07/2012;;France;Cinéma;Orange;ADSL,Fibre,Satellite;Non;Devient OCS Happy;
Orange Ciné Info;13/11/2008;03/07/2012;;France;Services;ADSL,Satellite;Oui;Chaîne de service présentant les chaînes Orange Cinéma Séries. Source : Orange;;
Orange Ciné Max;13/11/2008;11/07/2012;;France;Cinéma;Orange;ADSL,Fibre,Satellite;Non;Devient OCS Max;
Orange Ciné Novo;13/11/2008;11/07/2012;;France;Cinéma;Orange;ADSL,Fibre,Satellite;Non;Devient OCS Novo;
Orange Sport;13/11/2008;31/05/2012;;France;Sport;Orange;ADSL,Fibre,Satellite;Non;;
Orange Sport Info;13/11/2008;31/05/2012;;France;Sport;Orange;ADSL,Fibre,Satellite;Non;;
Orange TV;;;;;;;;;;
Outdoor Channel France;;;;France;Sport;Satellite,Câble,ADSL;Non;Version française.;Wiki CSAT;
Paramount Channel;05/09/2013;13/12/2022;;France;Cinéma;Paramount;TNT,Câble,Satellite,IPTV;Oui;;
Paramount Network;14/12/2022;;Paramount Channel;France;Divertissement;Paramount;TNT,Câble,Satellite,IPTV;Oui;;
Paris Première;15/12/1986;;;France;Culture;Groupe M6;Câble,Satellite,TNT,IPTV;Non;Disponible en clair à certaines périodes;
Passe Partout;Chaîne de services destinée aux établissements de santé.;Wikipédia;;;;;;;;
Penthouse Black;Chaîne adulte diffusée en France.;Wikipédia;;;;;;;;
Penthouse Passion;Chaîne adulte diffusée en France.;Wikipédia;;;;;;;;
Pink TV;25/10/2004;31/12/2008;;France;Divertissement;Câble,Satellite,IPTV;Non;Source : KingOfSat, TéléSatellite;;
Piwi;03/12/2003;31/12/2011;;France;Jeunesse;Groupe Canal+;Câble,Satellite,IPTV;Non;Devient Piwi+;
Piwi+;01/01/2012;;Piwi;France;Jeunesse;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Planète;24/09/1988;25/09/2016;;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;Devient Planète+;
Planète 2;15/09/1999;31/10/2002;;France;Documentaire;Câble,Satellite;Non;Devient Planète Thalassa le 01/11/2002.;;
Planète A&E;2002;2005;;France;Documentaire;Groupe Canal+;Câble,Satellite;Non;;
Planète Choc;2005;2014;Planète A&E;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Planète Câble;24/09/1988;1999;;France;Documentaire;Câble,Satellite;Non;Ancienne identité de Planète;;
Planète Forum;02/09/1998;2001;;France;Documentaire;Satellite,Câble;Non;Deviendra Planète Future. Ne pas confondre avec Forum Planète (chaîne de service).;Wiki CSAT, Wikipédia;
Planète Future;2001;;;France;Documentaire;Câble,Satellite;Non;Historique à consolider en V1.;Wiki CSAT;
Planète Histoire;2007;2016;;France;Histoire;Groupe Canal+;Câble,Satellite,IPTV;Non;Devient Planète+ History;
Planète Juniors;2003;2010;;France;Jeunesse;Groupe Canal+ / France Télévisions;Câble,Satellite,IPTV;Non;;
Planète Justice;2007;2016;;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;Devient Planète+ Crime;
Planète No Limit;2003;2016;;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Planète Thalassa;2002;2016;;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;Devient Planète+ Aventure;
Planète+;26/09/2016;;Planète;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Planète+ A&E;27/08/2011;30/06/2018;Planète No Limit;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Planète+ Aventure;26/09/2016;;Planète Thalassa;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Planète+ Crime;26/09/2016;;Planète Justice;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Planète+ History;26/09/2016;;Planète Histoire;France;Histoire;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Planète+ Justice;27/08/2011;30/06/2018;Planète Justice;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Planète+ Thalassa;27/08/2011;30/06/2018;Planète Thalassa;France;Documentaire;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Playhouse Disney;03/11/2002;26/05/2011;;France;Jeunesse;The Walt Disney Company;Câble,Satellite,IPTV;Non;Devient Disney Junior;
Plug RTL;04/01/2021;31/08/2023;Plug TV;Belgique;Divertissement;RTL Belgium;Câble,Satellite,IPTV;Oui;Devient RTL Plug;
Plug TV;13/02/2004;03/01/2021;;Belgique;Divertissement;RTL Belgium;Câble,Satellite,IPTV;Oui;Devient Plug RTL;
PMU sur Canal+;;;;France;Sport;Satellite;Oui;Chaîne de service dédiée aux paris hippiques.;Wiki CSAT;
Poker Channel;2005;2012;;France;Jeux;Satellite,IPTV;Non;Version française. Source : KingOfSat;;
Polar+;26/09/2017;;France;Séries;;Satellite,Câble,IPTV;Non;;;
Première chaîne de l'ORTF;25/07/1964;31/12/1974;;France;Généraliste;ORTF;Hertzien;Oui;;
Public Sénat;20/03/2000;;;France;Parlementaire;Sénat;TNT,Câble,Satellite,IPTV;Oui;Partage le canal avec LCP-Assemblée nationale;
Radio-PTT Vision;01/08/1935;03/09/1937;Radiovision-PTT;France;Généraliste;État français;Hertzien;Oui;;
Radiodiffusion Nationale Télévision;04/09/1937;28/09/1939;Radio-PTT Vision;France;Généraliste;Radiodiffusion nationale;Hertzien;Oui;;
Radiovision-PTT;26/04/1935;31/07/1935;;France;Généraliste;État français;Hertzien;Oui;Première émission régulière de télévision française;
RFM TV;20/03/2010;;;France;Musique;Groupe 1981;Câble,Satellite,IPTV;Non;;
Rouge TV;2008;;;Suisse;Musique;Rouge FM;Câble,IPTV;Oui;;
RTBF Sat;2001;2019;;Belgique;Généraliste;RTBF;Satellite;Oui;;
RTF Télévision;09/02/1949;03/02/1959;Télévision Française;France;Généraliste;RTF;Hertzien;Oui;;
RTF Télévision 2;21/12/1963;24/07/1964;;France;Généraliste;RTF;Hertzien;Oui;Deuxième chaîne expérimentale;
chaine;date_creation;date_fin;predecesseur;pays;categorie;groupe;diffusion;gratuite;observations;source_principale
RTL Club;01/09/2023;Club RTL;Belgique;Généraliste;;Câble,Satellite,IPTV;Oui;Nouveau nom commercial;;
RTL Lëtzebuerg;1991;;;Luxembourg;Généraliste;RTL Luxembourg;Hertzien,Câble,Satellite,IPTV;Oui;Principalement en luxembourgeois;
RTL Plug;01/09/2023;Plug RTL;Belgique;Divertissement;;Câble,Satellite,IPTV;Oui;;;
RTL Shop;1997;2009;;Luxembourg;Téléachat;CLT-UFA;Satellite,Câble;Oui;;
RTL TVI;12/09/1987;;;Belgique;Généraliste;RTL Belgium;Hertzien,Câble,Satellite,IPTV;Oui;;
RTL Télévision;23/01/1955;10/09/1995;;Luxembourg;Généraliste;CLT;Hertzien,Câble,Satellite;Oui;Version francophone;
RTL-TVi;1987;12/09/1987;;Belgique;Généraliste;RTL Belgium;Hertzien;Oui;Appellation utilisée au lancement, à vérifier;
RTL9;11/09/1995;;RTL Télévision;Luxembourg;Généraliste;CLT (1995-1997), AB Groupe (1997-2017), Mediawan Thematics (2017-);Câble,Satellite,IPTV;Oui;;
RTS Deux;29/02/2012;;TSR 2;Suisse;Généraliste;SRG SSR;Hertzien,Câble,Satellite,IPTV;Oui;;
RTS Un;29/02/2012;;TSR 1;Suisse;Généraliste;SRG SSR;Hertzien,Câble,Satellite,IPTV;Oui;;
Rugby+;13/08/2004;;France;Sport;Rugby;Satellite,Câble,IPTV;Non;;;
Sci Fi;15/11/2005;05/07/2010;;France;Séries;NBCUniversal;Câble,Satellite,IPTV;Non;Devient Syfy;
Science & Vie TV;27/02/2015;;;France;Documentaire;Mediawan Thematics;Câble,Satellite,IPTV;Non;;
Seasons;13/05/1996;;France;Nature;Chasse et pêche;Câble,Satellite,IPTV;Non;;;
ShortsTV;2007;;;France;Cinéma;Shorts International;Câble,Satellite,IPTV;Non;;
Silver;2006;2015;;France;Cinéma;Silver TV;Câble,Satellite,IPTV;Non;;
Sony Entertainment Television;1996;2012;;France;Séries;Sony Pictures Television;Câble,Satellite;Non;;
Sony Movie Channel;2012;2021;;France;Cinéma;Sony Pictures Television;Câble,Satellite,IPTV;Non;;
Souvenirs From Earth;27/05/2008;31/12/2020;;France;Culture;ADSL,Câble,IPTV;Oui;Chaîne consacrée à l'art contemporain. Source : KingOfSat;;
Sport en France;28/05/2019;;France;Sport;;TNT locale,Câble,Satellite,IPTV;Oui;;;
Sport+;26/10/2002;27/06/2015;;France;Sport;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Sport365;2007;2011;;France;Sport;Sport365 Media;Câble,Satellite;Non;;
Studio 4;Chaîne musicale éphémère.;Wikipédia;;;;;;;;
Studio Universal;01/02/2003;31/01/2010;;France;Cinéma;NBCUniversal;Câble,Satellite,IPTV;Non;Devient Universal Channel;
Stylia;27/09/2010;31/12/2017;Odyssée;France;Art de vivre;Groupe TF1;Câble,Satellite,IPTV;Non;;
Sundance Channel;2009;2018;;France;Cinéma;AMC Networks;Câble,Satellite,IPTV;Non;;
Syfy;06/07/2010;;;France;Séries;NBCUniversal;Câble,Satellite,IPTV;Non;;
Série Club;13/03/1993;;;France;Séries;Groupe M6, Groupe TF1;Câble,Satellite,IPTV;Non;;
T.TV;2007;2014;;Luxembourg;Économie;Saint-Paul Luxembourg;IPTV;Oui;;
Tchatche TV;2004;2008;;France;Musique;Satellite,Câble;Non;Chaîne musicale interactive.;Wiki CSAT;
TCM;1999;1999;;France;Cinéma;Turner Broadcasting System;Câble,Satellite;Non;Devient TCM Cinéma;
TCM Cinéma;2000;;;France;Cinéma;Turner Broadcasting System (2000-2022), Warner Bros. Discovery (2022-);Câble,Satellite,IPTV;Non;;
TeenNick;19/11/2014;;;France;Jeunesse;Paramount;Câble,Satellite,IPTV;Non;;
TF1;06/01/1975;;;France;Généraliste;TF1 (1975-1987), TF1 SA (1987-);Hertzien,TNT,Câble,Satellite,IPTV;Oui;;
TF6;18/12/2000;31/12/2014;;France;Divertissement;TPS (2000-2006), Groupe TF1 / Groupe M6 (2006-2014);Satellite,Câble,IPTV;Non;;
TiJi;01/12/2000;;;France;Jeunesse;Groupe Canal+;Câble,Satellite,IPTV;Non;;
Tipik;07/09/2020;;;Belgique;Généraliste;RTBF;Hertzien,Câble,Satellite,IPTV;Oui;;
TMC;23/03/2009; ;Télé Monte-Carlo;Monaco;Généraliste;Groupe TF1;TNT,Câble,Satellite,IPTV;Oui;;
Toonami;11/02/2016;;;France;Jeunesse;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;;
Toute l'Histoire;17/12/1996;;;France;Histoire;AB Groupe (1996-2017), Mediawan Thematics (2017-);Câble,Satellite,IPTV;Non;;
Toute l'Histoire HD;2008;;;France;Documentaire;AB Groupe;Câble,Satellite;Non;À supprimer en v1.0 (déclinaison HD);
Toutes les Filles TV;31/08/2009;31/12/2013;;France;Divertissement;AB Groupe;Câble,Satellite,IPTV;Non;;
TPS 96-2001;;;;;;;;;;
TPS Cinéclub;26/04/2005;31/12/2008;;France;Cinéma;TPS;Satellite;Non;;
TPS Cinécomedy;26/04/2005;31/12/2008;;France;Cinéma;TPS;Satellite;Non;;
TPS Cinéculte;26/04/2005;31/12/2008;;France;Cinéma;TPS;Satellite;Non;;
TPS Cinéextrême;26/04/2005;31/12/2008;;France;Cinéma;TPS;Satellite;Non;;
TPS Cinéfamily;26/04/2005;31/12/2008;;France;Cinéma;TPS;Satellite;Non;;
TPS Cinéma;1996;2003;;France;Cinéma;TPS;Satellite;Non;Nom générique initial des chaînes cinéma TPS, à documenter précisément en v1.0;
TPS Cinéstar;16/12/1996;31/12/2008;;France;Cinéma;TPS;Satellite;Non;;
TPS Cinétoile;16/12/1996;31/12/2008;;France;Cinéma;TPS;Satellite;Non;;
TPS Cinétoile Info;2003;2007;;France;Services;Satellite;Oui;Chaîne de service présentant les programmes cinéma TPS;;
TPS Foot;16/08/2005;31/12/2008;;France;Sport;TPS;Satellite;Non;;
TPS Football;2002;2005;;France;Sport;TPS;Satellite;Non;Prédécesseur de TPS Foot;
TPS Home Cinéma;2003;2007;;France;Cinéma;Satellite;Non;;;
TPS Homecinéma;01/10/2003;31/12/2008;;France;Cinéma;TPS;Satellite;Non;;
TPS Info;1996;2007;;France;Services;Satellite;Oui;Chaîne de service du bouquet TPS;;
TPS Jeunesse;2003;31/12/2008;;France;Jeunesse;TPS;Satellite;Non;;
TPS Mosaïque;1996;2007;;France;Services;Satellite;Oui;Chaîne de service de présentation des programmes;;
TPS Sport;1996;2001;;France;Sport;TPS;Satellite;Non;Chaîne des débuts de TPS, historique à vérifier;
TPS Sport 2;2002;31/12/2008;;France;Sport;TPS;Satellite;Non;;
TPS Star;12/05/2001;04/05/2012;;France;Cinéma;TPS (2001-2007), Groupe Canal+ (2007-2012);Satellite,IPTV;Non;;
Trace Africa;01/06/2011;;;France;Musique;Trace;Câble,Satellite,IPTV;Non;;
Trace Gospel;15/04/2011;;;France;Musique;Trace;Câble,Satellite,IPTV;Non;;
Trace Latina;15/07/2014;;;France;Musique;Trace;Câble,Satellite,IPTV;Non;;
Trace Sport Stars;15/05/2011;;;France;Sport;Trace;Câble,Satellite,IPTV;Non;;
Trace Tropical;28/04/2005;;;France;Musique;Trace;Câble,Satellite,IPTV;Non;;
Trace TV;27/04/2003;31/08/2010;;France;Musique;Trace Partners;Câble,Satellite,IPTV;Non;Devient Trace Urban;
Trace Urban;01/09/2010;;Trace TV;France;Musique;Trace;Câble,Satellite,IPTV;Non;;
Travel Channel;2008;2020;;France;Découverte;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;;
Trek;08/11/2016;;;France;Cinéma;Mediawan Thematics;Câble,Satellite,IPTV;Non;;
Troisième chaîne couleur;31/12/1972;06/01/1975;;France;Généraliste;ORTF;Hertzien;Oui;Devient FR3;
TSR 1;01/11/1954;28/02/2012;;Suisse;Généraliste;SRG SSR;Hertzien,Câble,Satellite,IPTV;Oui;Devient RTS Un;
TSR 2;01/09/1997;28/02/2012;;Suisse;Généraliste;SRG SSR;Hertzien,Câble,Satellite,IPTV;Oui;Devient RTS Deux;
TV Breizh;01/09/2000;;;France;Généraliste;Groupe TF1;Câble,Satellite,IPTV;Non;;
TV Classica France;;;;France;Musique;Satellite;Non;Version française de TV Classica.;Wiki CSAT;
TV5;02/01/1984;01/01/2006;;France;Généraliste;TV5 Monde;Satellite,Câble;Oui;Devient TV5MONDE;
TV5MONDE;02/01/2006;;TV5;France;Généraliste;TV5MONDE;Satellite,Câble,IPTV;Oui;;
TV6;28/02/1986;28/02/1987;;France;Musique;Publicis, NRJ, Gaumont, Gilbert Gross;Hertzien;Oui;;
TVM Est Parisien;20/12/2004;31/12/2006;;France;Généraliste;CanalSatellite;Non;Source : KingOfSat. Diffusion nationale via CanalSatellite.;;
TVM3;01/05/2004;;;Suisse;Musique;Media One Group;Câble,Satellite,IPTV;Oui;;
TVPI;Chaîne destinée aux patients hospitalisés.;Wikipédia;;;;;;;;
